Ano,Província,Chegadas_Turistas,Saidas_Turistas,Hóspedes_Nacionais,Hóspedes_Estrangeiros,Ocupacao_Hoteleira(%),Quartos_Disponiveis,Camas_Disponiveis,Unidades_Hoteleiras
2019,Luanda,31000,25700,81200,24500,62.5,7300,13800,190
2019,Benguela,8700,7350,20100,4700,48.0,4250,8200,140
2019,Huíla,5600,4650,12800,3400,41.2,3120,6100,88
2020,Luanda,25132,20859,73412,19821,55.4,7210,13500,192
2020,Benguela,7315,6071,18976,4511,42.8,4200,8300,143
2020,Huíla,4803,3986,12333,3208,38.2,3110,6050,89
2021,Luanda,26891,22857,82034,24356,60.2,7450,14200,198
2021,Benguela,8002,6801,20321,5123,45.7,4350,8500,150
2021,Huíla,5199,4419,12900,3388,40.5,3200,6200,90
2022,Luanda,29500,25200,86500,26200,63.0,7500,14400,200
2022,Benguela,8900,7450,21400,5400,49.0,4400,8600,152
2022,Huíla,5600,4750,13600,3600,43.5,3250,6300,91

